sample	AfElphSD3	Armadillo	BaboonSTL	BigHornSD	BlackBr2	BlackLemur	BlackRhino1	BushDog1	Callimicos	Capybara	Chimp1	Colobus	CRBM.05	Gazelle3	Giraffe2	GorillaSTL	Horse1	Hyena2	HyraxSTL	Kroo3	Lion1	Okapi2	Orang1	PolarBr2	Rabbit	RTLemur	Saki	SpecBr2	SpgbkW	Squirrel	Urial2	VWPig	ZebraSTL1
AfElphSD3	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
Armadillo	129.614813968157	0	108.627804912002	129.614813968157	91.6515138991168	106.770782520313	129.614813968157	129.614813968157	50.9901951359278	120.830459735946	86.0232526704263	106.770782520313	86.0232526704263	129.614813968157	129.614813968157	120.830459735946	129.614813968157	129.614813968157	129.614813968157	129.614813968157	122.474487139159	129.614813968157	92.736184954957	122.474487139159	129.614813968157	101.980390271856	91.6515138991168	101.980390271856	129.614813968157	70.7106781186548	129.614813968157	95.9166304662544	129.614813968157
BaboonSTL	24.4948974278318	108.627804912002	0	24.4948974278318	73.4846922834953	34.6410161513775	24.4948974278318	128.840987267251	98.9949493661167	20	78.7400787401181	34.6410161513775	78.7400787401181	24.4948974278318	24.4948974278318	20	24.4948974278318	128.840987267251	24.4948974278318	24.4948974278318	121.655250605964	24.4948974278318	113.137084989848	121.655250605964	24.4948974278318	100.995049383621	67.8232998312527	100.995049383621	24.4948974278318	58.309518948453	24.4948974278318	24.4948974278318	24.4948974278318
BigHornSD	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
BlackBr2	87.1779788708135	91.6515138991168	73.4846922834953	87.1779788708135	0	46.9041575982343	87.1779788708135	107.70329614269	52.9150262212918	73.4846922834953	20	46.9041575982343	20	87.1779788708135	87.1779788708135	73.4846922834953	87.1779788708135	107.70329614269	87.1779788708135	87.1779788708135	100	87.1779788708135	46.9041575982343	98.9949493661167	87.1779788708135	34.6410161513775	31.6227766016838	34.6410161513775	87.1779788708135	44.7213595499958	87.1779788708135	63.2455532033676	87.1779788708135
BlackLemur	42.4264068711929	106.770782520313	34.6410161513775	42.4264068711929	46.9041575982343	0	42.4264068711929	125.698050899765	83.6660026534076	28.2842712474619	50.9901951359278	0	50.9901951359278	42.4264068711929	42.4264068711929	28.2842712474619	42.4264068711929	125.698050899765	42.4264068711929	42.4264068711929	118.321595661992	42.4264068711929	87.1779788708135	118.321595661992	42.4264068711929	70.7106781186548	50.9901951359278	70.7106781186548	42.4264068711929	50.9901951359278	42.4264068711929	37.4165738677394	42.4264068711929
BlackRhino1	0	129.614813968157	24.4948974278318	0	87.1779788708135	42.4264068711929	0	141.42135623731	119.16375287813	14.142135623731	92.736184954957	42.4264068711929	92.736184954957	0	0	14.142135623731	0	141.42135623731	0	0	134.90737563232	0	128.840987267251	134.90737563232	0	113.137084989848	82.4621125123532	113.137084989848	0	78.7400787401181	0	44.7213595499958	0
BushDog1	141.42135623731	129.614813968157	128.840987267251	141.42135623731	107.70329614269	125.698050899765	141.42135623731	0	119.16375287813	134.90737563232	120.830459735946	125.698050899765	120.830459735946	141.42135623731	141.42135623731	134.90737563232	141.42135623731	0	141.42135623731	141.42135623731	14.142135623731	141.42135623731	128.840987267251	14.142135623731	141.42135623731	129.614813968157	82.4621125123532	129.614813968157	141.42135623731	110.453610171873	141.42135623731	118.321595661992	141.42135623731
Callimicos	119.16375287813	50.9901951359278	98.9949493661167	119.16375287813	52.9150262212918	83.6660026534076	119.16375287813	119.16375287813	0	106.770782520313	44.7213595499958	83.6660026534076	44.7213595499958	119.16375287813	119.16375287813	106.770782520313	119.16375287813	119.16375287813	119.16375287813	119.16375287813	111.3552872566	119.16375287813	42.4264068711929	111.3552872566	119.16375287813	54.7722557505166	63.2455532033676	54.7722557505166	119.16375287813	50.9901951359278	119.16375287813	84.8528137423857	119.16375287813
Capybara	14.142135623731	120.830459735946	20	14.142135623731	73.4846922834953	28.2842712474619	14.142135623731	134.90737563232	106.770782520313	0	78.7400787401181	28.2842712474619	78.7400787401181	14.142135623731	14.142135623731	0	14.142135623731	134.90737563232	14.142135623731	14.142135623731	128.062484748657	14.142135623731	114.891252930761	128.062484748657	14.142135623731	98.9949493661167	70.7106781186548	98.9949493661167	14.142135623731	67.8232998312527	14.142135623731	37.4165738677394	14.142135623731
