sample	AfElphSD3	Armadillo	BaboonSTL	BigHornSD	BlackBr2	BlackLemur	BlackRhino1	BushDog1	Callimicos	Capybara	Chimp1	Colobus	CRBM.05	Gazelle3	Giraffe2	GorillaSTL	Horse1	Hyena2	HyraxSTL	Kroo3	Lion1	Okapi2	Orang1	PolarBr2	Rabbit	RTLemur	Saki	SpecBr2	SpgbkW	Squirrel	Urial2	VWPig	ZebraSTL1
AfElphSD3	0	197.800000003	197.8000000027	197.8000000024	197.8000000023	197.800000004402	197.8000000027	197.8000000023	197.8000000028	197.800000004	197.800000003	197.800000003	197.800000003	197.80000000333	197.8000000027	197.800000003	197.8000000027	197.8000000023	151.600000003	294.20000000301	197.8000000023	197.8000000027	197.8	197.8000000023	197.800000003	197.800000001302	197.800000003	197.8000000023	197.80000000393	197.79999999985	197.8000000024	197.7999999979	197.800000003016
Armadillo	197.800000003	0	197.3999999997	197.3999999994	197.3999999993	197.400000001402	197.3999999997	197.3999999993	197.3999999998	197.400000001	197.4	197.4	197.4	197.40000000033	197.3999999997	197.4	197.3999999997	197.3999999993	197.8	294.20000000001	197.3999999993	197.3999999997	197.399999997	197.3999999993	197.4	197.399999998302	197.4	197.3999999993	197.40000000093	197.39999999685	197.3999999994	197.3999999949	197.400000000016
BaboonSTL	197.8000000027	197.3999999997	0	192.3999999991	192.399999999	172.000000001102	192.3999999994	192.399999999	104.7999999995	183.8000000007	70.5999999997	40.3999999997	70.5999999997	192.40000000003	192.3999999994	70.5999999997	192.3999999994	192.399999999	197.7999999997	294.19999999971	192.399999999	192.3999999994	70.5999999967	192.399999999	183.7999999997	171.999999998002	104.7999999997	192.399999999	192.40000000063	183.79999999655	192.3999999991	192.3999999946	192.399999999716
BigHornSD	197.8000000024	197.3999999994	192.3999999991	0	170.8088533921	192.400000000802	170.5999999997	170.8088533921	192.3999999992	192.4000000004	192.3999999994	192.3999999994	192.3999999994	43.60000000033	53.5999999997	192.3999999994	170.5999999997	170.8088533921	197.7999999994	294.19999999941	170.8088533921	53.5999999997	192.3999999964	170.8088533921	192.3999999994	192.399999997702	192.3999999994	170.8088533921	43.60000000093	192.39999999625	10.8	131.1999999949	170.600000000016
BlackBr2	197.8000000023	197.3999999993	192.399999999	170.8088533921	0	192.400000000702	170.8088533924	122.4	192.3999999991	192.4000000003	192.3999999993	192.3999999993	192.3999999993	170.80885339303	170.8088533924	192.3999999993	170.8088533924	129.8	197.7999999993	294.19999999931	129.8	170.8088533924	192.3999999963	9.6	192.3999999993	192.399999997602	192.3999999993	30.8	170.80885339363	192.39999999615	170.8088533921	170.8088533876	170.808853392716
BlackLemur	197.800000004402	197.400000001402	172.000000001102	192.400000000802	192.400000000702	0	192.400000001102	192.400000000702	172.000000001202	183.800000002402	172.000000001402	172.000000001402	172.000000001402	192.400000001732	192.400000001102	172.000000001402	192.400000001102	192.400000000702	197.800000001402	294.200000001412	192.400000000702	192.400000001102	171.999999998402	192.400000000702	183.800000001402	32.3091695191	172.000000001402	192.400000000702	192.400000002332	183.799999998252	192.400000000802	192.399999996302	192.400000001418
BlackRhino1	197.8000000027	197.3999999997	192.3999999994	170.5999999997	170.8088533924	192.400000001102	0	170.8088533924	192.3999999995	192.4000000007	192.3999999997	192.3999999997	192.3999999997	170.60000000063	170.6	192.3999999997	117	170.8088533924	197.7999999997	294.19999999971	170.8088533924	170.6	192.3999999967	170.8088533924	192.3999999997	192.399999998002	192.3999999997	170.8088533924	170.60000000123	192.39999999655	170.5999999997	170.5999999952	117.000000000316
BushDog1	197.8000000023	197.3999999993	192.399999999	170.8088533921	122.4	192.400000000702	170.8088533924	0	192.3999999991	192.4000000003	192.3999999993	192.3999999993	192.3999999993	170.80885339303	170.8088533924	192.3999999993	170.8088533924	129.8	197.7999999993	294.19999999931	129.8	170.8088533924	192.3999999963	122.4	192.3999999993	192.399999997602	192.3999999993	122.4	170.80885339363	192.39999999615	170.8088533921	170.8088533876	170.808853392716
Callimicos	197.8000000028	197.3999999998	104.7999999995	192.3999999992	192.3999999991	172.000000001202	192.3999999995	192.3999999991	0	183.8000000008	104.7999999998	104.7999999998	104.7999999998	192.40000000013	192.3999999995	104.7999999998	192.3999999995	192.3999999991	197.7999999998	294.19999999981	192.3999999991	192.3999999995	104.7999999968	192.3999999991	183.7999999998	171.999999998102	47.1999999998	192.3999999991	192.40000000073	183.79999999665	192.3999999992	192.3999999947	192.399999999816
Capybara	197.800000004	197.400000001	183.8000000007	192.4000000004	192.4000000003	183.800000002402	192.4000000007	192.4000000003	183.8000000008	0	183.800000001	183.800000001	183.800000001	192.40000000133	192.4000000007	183.800000001	192.4000000007	192.4000000003	197.800000001	294.20000000101	192.4000000003	192.4000000007	183.799999998	192.4000000003	178.000000001	183.799999999302	183.800000001	192.4000000003	192.40000000193	165.19999999785	192.4000000004	192.3999999959	192.400000001016
Chimp1	197.800000003	197.4	70.5999999997	192.3999999994	192.3999999993	172.000000001402	192.3999999997	192.3999999993	104.7999999998	183.800000001	0	70.6	17.6	192.40000000033	192.3999999997	23	192.3999999997	192.3999999993	197.8	294.20000000001	192.3999999993	192.3999999997	36.781506763	192.3999999993	183.8	171.999999998302	104.8	192.3999999993	192.40000000093	183.79999999685	192.3999999994	192.3999999949	192.400000000016
Colobus	197.800000003	197.4	40.3999999997	192.3999999994	192.3999999993	172.000000001402	192.3999999997	192.3999999993	104.7999999998	183.800000001	70.6	0	70.6	192.40000000033	192.3999999997	70.6	192.3999999997	192.3999999993	197.8	294.20000000001	192.3999999993	192.3999999997	70.599999997	192.3999999993	183.8	171.999999998302	104.8	192.3999999993	192.40000000093	183.79999999685	192.3999999994	192.3999999949	192.400000000016
CRBM.05	197.800000003	197.4	70.5999999997	192.3999999994	192.3999999993	172.000000001402	192.3999999997	192.3999999993	104.7999999998	183.800000001	17.6	70.6	0	192.40000000033	192.3999999997	23	192.3999999997	192.3999999993	197.8	294.20000000001	192.3999999993	192.3999999997	36.781506763	192.3999999993	183.8	171.999999998302	104.8	192.3999999993	192.40000000093	183.79999999685	192.3999999994	192.3999999949	192.400000000016
Gazelle3	197.80000000333	197.40000000033	192.40000000003	43.60000000033	170.80885339303	192.400000001732	170.60000000063	170.80885339303	192.40000000013	192.40000000133	192.40000000033	192.40000000033	192.40000000033	0	53.60000000063	192.40000000033	170.60000000063	170.80885339303	197.80000000033	294.20000000034	170.80885339303	53.60000000063	192.39999999733	170.80885339303	192.40000000033	192.399999998632	192.40000000033	170.80885339303	20.000000001	192.39999999718	43.60000000033	131.19999999583	170.600000000946
Giraffe2	197.8000000027	197.3999999997	192.3999999994	53.5999999997	170.8088533924	192.400000001102	170.6	170.8088533924	192.3999999995	192.4000000007	192.3999999997	192.3999999997	192.3999999997	53.60000000063	0	192.3999999997	170.6	170.8088533924	197.7999999997	294.19999999971	170.8088533924	15.6	192.3999999967	170.8088533924	192.3999999997	192.399999998002	192.3999999997	170.8088533924	53.60000000123	192.39999999655	53.5999999997	131.1999999952	170.600000000316
GorillaSTL	197.800000003	197.4	70.5999999997	192.3999999994	192.3999999993	172.000000001402	192.3999999997	192.3999999993	104.7999999998	183.800000001	23	70.6	23	192.40000000033	192.3999999997	0	192.3999999997	192.3999999993	197.8	294.20000000001	192.3999999993	192.3999999997	36.781506763	192.3999999993	183.8	171.999999998302	104.8	192.3999999993	192.40000000093	183.79999999685	192.3999999994	192.3999999949	192.400000000016
Horse1	197.8000000027	197.3999999997	192.3999999994	170.5999999997	170.8088533924	192.400000001102	117	170.8088533924	192.3999999995	192.4000000007	192.3999999997	192.3999999997	192.3999999997	170.60000000063	170.6	192.3999999997	0	170.8088533924	197.7999999997	294.19999999971	170.8088533924	170.6	192.3999999967	170.8088533924	192.3999999997	192.399999998002	192.3999999997	170.8088533924	170.60000000123	192.39999999655	170.5999999997	170.5999999952	24.400000000316
Hyena2	197.8000000023	197.3999999993	192.399999999	170.8088533921	129.8	192.400000000702	170.8088533924	129.8	192.3999999991	192.4000000003	192.3999999993	192.3999999993	192.3999999993	170.80885339303	170.8088533924	192.3999999993	170.8088533924	0	197.7999999993	294.19999999931	106	170.8088533924	192.3999999963	129.8	192.3999999993	192.399999997602	192.3999999993	129.8	170.80885339363	192.39999999615	170.8088533921	170.8088533876	170.808853392716
HyraxSTL	151.600000003	197.8	197.7999999997	197.7999999994	197.7999999993	197.800000001402	197.7999999997	197.7999999993	197.7999999998	197.800000001	197.8	197.8	197.8	197.80000000033	197.7999999997	197.8	197.7999999997	197.7999999993	0	294.20000000001	197.7999999993	197.7999999997	197.799999997	197.7999999993	197.8	197.799999998302	197.8	197.7999999993	197.80000000093	197.79999999685	197.7999999994	197.7999999949	197.800000000016
Kroo3	294.20000000301	294.20000000001	294.19999999971	294.19999999941	294.19999999931	294.200000001412	294.19999999971	294.19999999931	294.19999999981	294.20000000101	294.20000000001	294.20000000001	294.20000000001	294.20000000034	294.19999999971	294.20000000001	294.19999999971	294.19999999931	294.20000000001	0	294.19999999931	294.19999999971	294.19999999701	294.19999999931	294.20000000001	294.199999998312	294.20000000001	294.19999999931	294.20000000094	294.19999999686	294.19999999941	294.19999999491	294.200000000026
Lion1	197.8000000023	197.3999999993	192.399999999	170.8088533921	129.8	192.400000000702	170.8088533924	129.8	192.3999999991	192.4000000003	192.3999999993	192.3999999993	192.3999999993	170.80885339303	170.8088533924	192.3999999993	170.8088533924	106	197.7999999993	294.19999999931	0	170.8088533924	192.3999999963	129.8	192.3999999993	192.399999997602	192.3999999993	129.8	170.80885339363	192.39999999615	170.8088533921	170.8088533876	170.808853392716
Okapi2	197.8000000027	197.3999999997	192.3999999994	53.5999999997	170.8088533924	192.400000001102	170.6	170.8088533924	192.3999999995	192.4000000007	192.3999999997	192.3999999997	192.3999999997	53.60000000063	15.6	192.3999999997	170.6	170.8088533924	197.7999999997	294.19999999971	170.8088533924	0	192.3999999967	170.8088533924	192.3999999997	192.399999998002	192.3999999997	170.8088533924	53.60000000123	192.39999999655	53.5999999997	131.1999999952	170.600000000316
Orang1	197.8	197.399999997	70.5999999967	192.3999999964	192.3999999963	171.999999998402	192.3999999967	192.3999999963	104.7999999968	183.799999998	36.781506763	70.599999997	36.781506763	192.39999999733	192.3999999967	36.781506763	192.3999999967	192.3999999963	197.799999997	294.19999999701	192.3999999963	192.3999999967	0	192.3999999963	183.799999997	171.999999995302	104.799999997	192.3999999963	192.39999999793	183.79999999385	192.3999999964	192.3999999919	192.399999997016
PolarBr2	197.8000000023	197.3999999993	192.399999999	170.8088533921	9.6	192.400000000702	170.8088533924	122.4	192.3999999991	192.4000000003	192.3999999993	192.3999999993	192.3999999993	170.80885339303	170.8088533924	192.3999999993	170.8088533924	129.8	197.7999999993	294.19999999931	129.8	170.8088533924	192.3999999963	0	192.3999999993	192.399999997602	192.3999999993	30.8	170.80885339363	192.39999999615	170.8088533921	170.8088533876	170.808853392716
Rabbit	197.800000003	197.4	183.7999999997	192.3999999994	192.3999999993	183.800000001402	192.3999999997	192.3999999993	183.7999999998	178.000000001	183.8	183.8	183.8	192.40000000033	192.3999999997	183.8	192.3999999997	192.3999999993	197.8	294.20000000001	192.3999999993	192.3999999997	183.799999997	192.3999999993	0	183.799999998302	183.8	192.3999999993	192.40000000093	177.99999999685	192.3999999994	192.3999999949	192.400000000016
RTLemur	197.800000001302	197.399999998302	171.999999998002	192.399999997702	192.399999997602	32.3091695191	192.399999998002	192.399999997602	171.999999998102	183.799999999302	171.999999998302	171.999999998302	171.999999998302	192.399999998632	192.399999998002	171.999999998302	192.399999998002	192.399999997602	197.799999998302	294.199999998312	192.399999997602	192.399999998002	171.999999995302	192.399999997602	183.799999998302	0	171.999999998302	192.399999997602	192.399999999232	183.799999995152	192.399999997702	192.399999993202	192.399999998318
Saki	197.800000003	197.4	104.7999999997	192.3999999994	192.3999999993	172.000000001402	192.3999999997	192.3999999993	47.1999999998	183.800000001	104.8	104.8	104.8	192.40000000033	192.3999999997	104.8	192.3999999997	192.3999999993	197.8	294.20000000001	192.3999999993	192.3999999997	104.799999997	192.3999999993	183.8	171.999999998302	0	192.3999999993	192.40000000093	183.79999999685	192.3999999994	192.3999999949	192.400000000016
SpecBr2	197.8000000023	197.3999999993	192.399999999	170.8088533921	30.8	192.400000000702	170.8088533924	122.4	192.3999999991	192.4000000003	192.3999999993	192.3999999993	192.3999999993	170.80885339303	170.8088533924	192.3999999993	170.8088533924	129.8	197.7999999993	294.19999999931	129.8	170.8088533924	192.3999999963	30.8	192.3999999993	192.399999997602	192.3999999993	0	170.80885339363	192.39999999615	170.8088533921	170.8088533876	170.808853392716
SpgbkW	197.80000000393	197.40000000093	192.40000000063	43.60000000093	170.80885339363	192.400000002332	170.60000000123	170.80885339363	192.40000000073	192.40000000193	192.40000000093	192.40000000093	192.40000000093	20.000000001	53.60000000123	192.40000000093	170.60000000123	170.80885339363	197.80000000093	294.20000000094	170.80885339363	53.60000000123	192.39999999793	170.80885339363	192.40000000093	192.399999999232	192.40000000093	170.80885339363	0	192.39999999778	43.60000000093	131.19999999643	170.600000001546
Squirrel	197.79999999985	197.39999999685	183.79999999655	192.39999999625	192.39999999615	183.799999998252	192.39999999655	192.39999999615	183.79999999665	165.19999999785	183.79999999685	183.79999999685	183.79999999685	192.39999999718	192.39999999655	183.79999999685	192.39999999655	192.39999999615	197.79999999685	294.19999999686	192.39999999615	192.39999999655	183.79999999385	192.39999999615	177.99999999685	183.799999995152	183.79999999685	192.39999999615	192.39999999778	0	192.39999999625	192.39999999175	192.399999996866
Urial2	197.8000000024	197.3999999994	192.3999999991	10.8	170.8088533921	192.400000000802	170.5999999997	170.8088533921	192.3999999992	192.4000000004	192.3999999994	192.3999999994	192.3999999994	43.60000000033	53.5999999997	192.3999999994	170.5999999997	170.8088533921	197.7999999994	294.19999999941	170.8088533921	53.5999999997	192.3999999964	170.8088533921	192.3999999994	192.399999997702	192.3999999994	170.8088533921	43.60000000093	192.39999999625	0	131.1999999949	170.600000000016
